City1,City2,Month,Passenger_Trips,Aircraft_Trips,Route_Distance,Seats
ADELAIDE,SYDNEY,Jun-84,31115,317,1167,40726
ALBURY,SYDNEY,Jun-84,9241,246,452,12817
ALICE SPRINGS,DARWIN,Jun-84,9017,75,1305,10722
ALICE SPRINGS,SYDNEY,Jun-84,2597,31,2022,3737
BRISBANE,CAIRNS,Jun-84,2007,32,1391,2493
BRISBANE,CANBERRA,Jun-84,281,7,956,755
BRISBANE,DARWIN,Jun-84,2103,15,2852,2428
BRISBANE,MACKAY,Jun-84,570,9,797,891
BRISBANE,MELBOURNE,Jun-84,23504,261,1381,30172
BRISBANE,PERTH,Jun-84,393,5,3615,720
BRISBANE,PROSERPINE,Jun-84,6207,84,895,9196
BRISBANE,ROCKHAMPTON,Jun-84,21268,267,518,26719
BRISBANE,SYDNEY,Jun-84,94242,931,753,128395
BRISBANE,TOWNSVILLE,Jun-84,36061,402,1112,41593
BROOME,PERTH,Jun-84,388,9,1677,652
CAIRNS,SYDNEY,Jun-84,119,2,1971,194
CANBERRA,MELBOURNE,Jun-84,27452,380,470,47168
CANBERRA,SYDNEY,Jun-84,39785,577,236,64066
COFFS HARBOUR,SYDNEY,Jun-84,6371,144,443,7486
DEVONPORT,MELBOURNE,Jun-84,4576,211,412,9736
DUBBO,SYDNEY,Jun-84,5771,154,310,7895
GOLD COAST,SYDNEY,Jun-84,24477,306,680,34091
HOBART,MELBOURNE,Jun-84,21078,322,618,31088
KALGOORLIE,PERTH,Jun-84,5604,234,538,9612
KARRATHA,PERTH,Jun-84,7834,137,1250,9326
LAUNCESTON,MELBOURNE,Jun-84,23846,494,476,35538
MELBOURNE,BURNIE,Jun-84,5116,234,378,9973
MELBOURNE,GOLD COAST,Jun-84,7850,86,1330,9620
MELBOURNE,MILDURA,Jun-84,3176,296,457,7803
MELBOURNE,PERTH,Jun-84,17852,194,2706,23583
MELBOURNE,SYDNEY,Jun-84,151317,1353,706,211337
PERTH,SYDNEY,Jun-84,10932,100,3284,14403
SUNSHINE COAST,SYDNEY,Jun-84,2837,87,837,5477
SYDNEY,TOWNSVILLE,Jun-84,4734,59,1690,5801
SYDNEY,WAGGA WAGGA,Jun-84,5122,137,367,7144
ADELAIDE,ALICE SPRINGS,Jul-84,14116,131,1316,17557
ADELAIDE,BRISBANE,Jul-84,3183,40,1622,4882
ADELAIDE,CANBERRA,Jul-84,1211,14,972,1567
ADELAIDE,DARWIN,Jul-84,4174,38,2619,4825
ADELAIDE,GOLD COAST,Jul-84,1065,16,1607,1843
ADELAIDE,MELBOURNE,Jul-84,52341,671,643,75528
ADELAIDE,PERTH,Jul-84,14368,133,2120,19286
ADELAIDE,SYDNEY,Jul-84,34393,354,1167,44551
ALBURY,SYDNEY,Jul-84,8375,184,452,10588
ALICE SPRINGS,DARWIN,Jul-84,9526,84,1305,12013
ALICE SPRINGS,SYDNEY,Jul-84,3105,31,2022,3886
BRISBANE,CAIRNS,Jul-84,2298,30,1391,2769
BRISBANE,CANBERRA,Jul-84,230,6,956,612
BRISBANE,DARWIN,Jul-84,2878,25,2852,3807
BRISBANE,MACKAY,Jul-84,837,15,797,1544
BRISBANE,MELBOURNE,Jul-84,27400,300,1381,35173
BRISBANE,PERTH,Jul-84,377,4,3615,576
BRISBANE,PROSERPINE,Jul-84,6387,92,895,9406
BRISBANE,ROCKHAMPTON,Jul-84,22303,296,518,29462
BRISBANE,SYDNEY,Jul-84,101858,1007,753,139723
BRISBANE,TOWNSVILLE,Jul-84,39107,420,1112,45002
BROOME,PERTH,Jul-84,326,6,1677,402
CANBERRA,MELBOURNE,Jul-84,30037,388,470,47678
CANBERRA,SYDNEY,Jul-84,45105,618,236,68653
COFFS HARBOUR,SYDNEY,Jul-84,5827,150,443,7801
DARWIN,SYDNEY,Jul-84,73,1,3155,102
DEVONPORT,MELBOURNE,Jul-84,4038,184,412,8092
DUBBO,SYDNEY,Jul-84,5376,145,310,7918
GOLD COAST,SYDNEY,Jul-84,26031,333,680,37134
HOBART,MELBOURNE,Jul-84,19511,312,618,29034
KALGOORLIE,PERTH,Jul-84,6150,218,538,9887
KARRATHA,PERTH,Jul-84,8661,154,1250,10165
LAUNCESTON,MELBOURNE,Jul-84,22796,484,476,32706
MELBOURNE,BURNIE,Jul-84,4787,214,378,8800
MELBOURNE,GOLD COAST,Jul-84,10909,107,1330,13128
MELBOURNE,MILDURA,Jul-84,3168,317,457,7861
MELBOURNE,PERTH,Jul-84,20940,227,2706,28336
MELBOURNE,SYDNEY,Jul-84,158759,1436,706,226475
PERTH,SYDNEY,Jul-84,11721,109,3284,15754
SUNSHINE COAST,SYDNEY,Jul-84,2783,84,837,5511
SYDNEY,TOWNSVILLE,Jul-84,8320,91,1690,9574
SYDNEY,WAGGA WAGGA,Jul-84,5167,157,367,8137
ADELAIDE,ALICE SPRINGS,Aug-84,15433,135,1316,18438
ADELAIDE,BRISBANE,Aug-84,3662,39,1622,4844
ADELAIDE,CANBERRA,Aug-84,1240,13,972,1412
ADELAIDE,DARWIN,Aug-84,3535,36,2619,4764
ADELAIDE,GOLD COAST,Aug-84,1255,16,1607,1843
ADELAIDE,MELBOURNE,Aug-84,62490,719,643,82988
ADELAIDE,PERTH,Aug-84,16601,145,2120,21366
ADELAIDE,SYDNEY,Aug-84,38870,377,1167,48648
ALBURY,SYDNEY,Aug-84,9686,193,452,11422
ALICE SPRINGS,DARWIN,Aug-84,9922,86,1305,12174
ALICE SPRINGS,SYDNEY,Aug-84,3399,35,2022,4238
BRISBANE,CAIRNS,Aug-84,2487,36,1391,3440
BRISBANE,CANBERRA,Aug-84,359,6,956,654
BRISBANE,DARWIN,Aug-84,2851,24,2852,3751
BRISBANE,MACKAY,Aug-84,128,7,797,194
BRISBANE,MELBOURNE,Aug-84,40046,384,1381,49197
BRISBANE,PERTH,Aug-84,443,4,3615,576
BRISBANE,PROSERPINE,Aug-84,7804,90,895,10135
BRISBANE,ROCKHAMPTON,Aug-84,22526,303,518,29369
BRISBANE,SYDNEY,Aug-84,106408,1028,753,140195
BRISBANE,TOWNSVILLE,Aug-84,37345,406,1112,44300
BROOME,PERTH,Aug-84,716,15,1677,956
